nm_college,bl_private,qt_applications_received,qt_applications_accepted,qt_students_enrolled,qt_top_10_percent,qt_top_25_percent,qt_undergraduate_students,qt_postgraduate_students,vl_tuition_outstate,vl_room_board,vl_books_cost,vl_personal_expenses,pc_faculty_with_phd,pc_faculty_with_terminal_degree,vl_student_faculty_ratio,pc_alumni_donors,vl_expenditure_per_student,pc_graduation_rate
Wheeling Jesuit College,True,903.0,755.0,213.0,15.0,49.0,971.0,305.0,10500.0,4545.0,600.0,600.0,66.0,71.0,14.1,27.0,7494.0,72.0
Lincoln University,False,1660.0,1091.0,326.0,15.0,41.0,1196.0,33.0,4818.0,3400.0,350.0,1400.0,71.0,72.0,12.6,8.0,10912.0,45.0
University of West Florida,False,1558.0,1254.0,472.0,20.0,57.0,3754.0,2477.0,6172.0,3994.0,541.0,1387.0,83.0,87.0,23.4,12.0,8488.0,53.0
Emily Dickinson Institute,False,2000.0,,,20.0,40.0,2000.0,1.0,10000.0,5000.0,600.0,1500.0,,60.0,,20.0,8000.0,60.0
Jane Austen Academy,,2000.0,20000.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Chestnut Hill College,True,342.0,254.0,126.0,25.0,64.0,518.0,232.0,10335.0,5015.0,700.0,850.0,71.0,71.0,8.3,29.0,7729.0,73.0
University of the Arts,True,974.0,704.0,290.0,5.0,22.0,1145.0,39.0,12520.0,3860.0,1300.0,700.0,16.0,59.0,7.5,9.0,11641.0,57.0
Valparaiso University,True,2075.0,1727.0,520.0,49.0,81.0,2501.0,198.0,11800.0,3260.0,500.0,800.0,87.0,89.0,14.2,23.0,9681.0,95.0
Schreiner College,True,584.0,413.0,131.0,19.0,51.0,521.0,99.0,8955.0,5900.0,500.0,1488.0,51.0,56.0,11.8,23.0,8545.0,52.0
Buena Vista College,True,860.0,688.0,285.0,32.0,70.0,1928.0,442.0,13306.0,3797.0,450.0,950.0,62.0,69.0,8.8,10.0,6333.0,78.0
St. Bonaventure University,True,1489.0,1313.0,375.0,13.0,45.0,1688.0,131.0,10456.0,4927.0,500.0,1050.0,91.0,91.0,17.7,32.0,9828.0,78.0
St. Mary's University of San Antonio,True,1243.0,1020.0,414.0,33.0,60.0,2149.0,418.0,8678.0,3858.0,700.0,1736.0,82.0,83.0,16.2,7.0,7651.0,72.0
Florence Nightingale University,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
George Fox College,True,809.0,726.0,294.0,27.0,52.0,1271.0,43.0,12500.0,4130.0,400.0,1050.0,53.0,53.0,13.5,22.0,7136.0,52.0
Albright College,True,1038.0,839.0,227.0,30.0,63.0,973.0,306.0,15595.0,4400.0,300.0,500.0,79.0,84.0,11.3,23.0,11644.0,80.0
Simón Bolívar Academy,True,2000.0,,500.0,20.0,40.0,2000.0,300.0,10000.0,,,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Grace College and Seminary,True,548.0,428.0,167.0,18.0,46.0,618.0,113.0,8958.0,3670.0,300.0,1000.0,53.0,59.0,15.3,26.0,9798.0,64.0
Milwaukee School of Engineering,True,1217.0,1088.0,496.0,36.0,69.0,1773.0,884.0,11505.0,3255.0,1000.0,2075.0,35.0,46.0,16.7,23.0,7140.0,67.0
Concordia University,True,528.0,403.0,186.0,22.0,56.0,1168.0,145.0,9216.0,4191.0,400.0,1000.0,56.0,64.0,12.1,13.0,7309.0,75.0
Averett College,True,627.0,556.0,172.0,16.0,40.0,777.0,538.0,9925.0,4135.0,750.0,1350.0,59.0,67.0,22.4,11.0,6523.0,48.0
Karl Marx Center for Studies,False,2000.0,1500.0,500.0,20.0,100.0,2000.0,300.0,10000.0,5000.0,0.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Kenyon College,True,2212.0,1538.0,408.0,44.0,75.0,1445.0,1.0,19240.0,3690.0,750.0,480.0,95.0,95.0,11.1,46.0,14067.0,88.0
Huntingdon College,True,608.0,520.0,127.0,26.0,47.0,538.0,126.0,8080.0,3920.0,500.0,1100.0,63.0,72.0,11.4,9.0,7703.0,44.0
University of Hartford,True,5081.0,4040.0,1194.0,11.0,26.0,3768.0,1415.0,14220.0,6000.0,500.0,1440.0,61.0,76.0,10.7,9.0,10625.0,66.0
Emily Dickinson College,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,,1000000.0,5000.0,600.0,1500.0,60.0,0.0,15.0,20.0,8000.0,60.0
University of Missouri at Saint Louis,False,1618.0,1141.0,479.0,18.0,54.0,4793.0,4552.0,7246.0,3964.0,500.0,4288.0,71.0,73.0,13.4,15.0,6433.0,48.0
Leonardo da Vinci Center for Studies,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,,15.0,20.0,,60.0
William Woods University,True,469.0,435.0,227.0,17.0,39.0,851.0,120.0,10535.0,4365.0,550.0,3700.0,39.0,66.0,12.9,16.0,7438.0,52.0
Scripps College,True,855.0,632.0,139.0,60.0,83.0,569.0,7.0,17238.0,7350.0,600.0,800.0,95.0,100.0,8.2,41.0,18372.0,73.0
Merrimack College,True,1981.0,1541.0,514.0,18.0,36.0,1927.0,1084.0,12500.0,6200.0,375.0,1000.0,73.0,75.0,16.8,22.0,8707.0,80.0
George Washington University,True,7875.0,5062.0,1492.0,38.0,71.0,5471.0,1470.0,17450.0,6328.0,700.0,950.0,92.0,93.0,7.6,15.0,14745.0,72.0
North Park College,True,465.0,361.0,176.0,19.0,39.0,879.0,156.0,12580.0,4345.0,400.0,970.0,76.0,79.0,13.1,24.0,10889.0,74.0
Rhodes College,True,2302.0,1831.0,391.0,58.0,82.0,1345.0,59.0,15200.0,4768.0,550.0,1500.0,90.0,96.0,10.8,47.0,13388.0,77.0
University of North Texas,False,4418.0,2737.0,2049.0,23.0,51.0,14047.0,5134.0,4104.0,3579.0,450.0,1700.0,86.0,94.0,22.6,6.0,5657.0,35.0
Alan Turing College,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,,60.0,15.0,20.0,8000.0,60.0
Texas Lutheran College,True,497.0,423.0,215.0,27.0,57.0,895.0,429.0,7850.0,3410.0,490.0,1700.0,54.0,58.0,13.8,24.0,7002.0,50.0
Indiana Wesleyan University,True,735.0,423.0,366.0,20.0,48.0,2448.0,707.0,9210.0,3782.0,700.0,1000.0,49.0,51.0,39.8,15.0,6562.0,34.0
Mankato State University,False,3073.0,2672.0,1547.0,9.0,29.0,9649.0,1792.0,4300.0,2643.0,450.0,1660.0,57.0,68.0,19.0,11.0,5801.0,68.0
Martin Luther King Jr. Institute,True,2000.0,1500.0,500.0,,40.0,,300.0,10000.0,,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Freed-Hardeman University,True,895.0,548.0,314.0,20.0,54.0,1174.0,50.0,5500.0,3340.0,600.0,1600.0,68.0,76.0,16.1,13.0,6078.0,62.0
Jamestown College,True,472.0,410.0,262.0,14.0,41.0,9950.0,71.0,7620.0,3050.0,400.0,400.0,51.0,53.0,17.0,21.0,3186.0,54.0
University of South Carolina at Columbia,False,7693.0,5815.0,2328.0,30.0,66.0,12594.0,3661.0,8074.0,3522.0,495.0,2941.0,84.0,88.0,16.9,18.0,8246.0,63.0
Aristotle School of Arts,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,,60.0,,20.0,8000.0,60.0
Belmont University,True,1220.0,974.0,481.0,28.0,67.0,1964.0,623.0,7800.0,3664.0,650.0,900.0,61.0,61.0,11.1,19.0,7614.0,49.0
University of the South,True,1445.0,966.0,326.0,46.0,83.0,1129.0,24.0,15350.0,4080.0,450.0,810.0,89.0,93.0,10.3,52.0,18784.0,82.0
Tuskegee University,True,2267.0,1827.0,611.0,20.0,59.0,2825.0,144.0,6735.0,3395.0,600.0,1425.0,70.0,74.0,12.2,7.0,10872.0,65.0
Delta State University,False,967.0,945.0,459.0,15.0,48.0,2806.0,538.0,4528.0,1880.0,500.0,1200.0,49.0,63.0,17.1,16.0,5113.0,58.0
Eastern Nazarene College,True,516.0,409.0,200.0,17.0,40.0,1238.0,30.0,8770.0,3500.0,450.0,700.0,58.0,58.0,17.3,17.0,6430.0,70.0
Simpson College,True,1016.0,872.0,300.0,27.0,57.0,1116.0,602.0,11250.0,4980.0,550.0,1400.0,66.0,73.0,15.8,36.0,7411.0,70.0
Spelman College,True,3713.0,1237.0,443.0,47.0,83.0,1971.0,107.0,7000.0,5565.0,660.0,2400.0,73.0,80.0,12.5,18.0,9988.0,65.0
South Dakota State University,False,2807.0,2589.0,1701.0,13.0,37.0,7000.0,1103.0,3811.0,2190.0,500.0,1970.0,62.0,65.0,15.0,29.0,5084.0,67.0
Birmingham-Southern College,True,805.0,588.0,287.0,67.0,88.0,1376.0,207.0,11660.0,4325.0,400.0,900.0,74.0,79.0,14.0,34.0,8649.0,72.0
Washington University,True,7654.0,5259.0,1254.0,62.0,93.0,4879.0,1274.0,18350.0,5775.0,768.0,1512.0,91.0,98.0,3.9,31.0,45702.0,90.0
Lock Haven University of Pennsylvania,False,3570.0,2215.0,651.0,17.0,41.0,3390.0,325.0,7352.0,3620.0,225.0,500.0,47.0,55.0,16.1,14.0,6374.0,63.0
Alma College,True,1267.0,1080.0,385.0,44.0,73.0,1306.0,28.0,12572.0,4552.0,400.0,400.0,79.0,87.0,15.3,32.0,9305.0,68.0
Dartmouth College,True,8587.0,2273.0,1087.0,87.0,99.0,3918.0,32.0,19545.0,6070.0,550.0,1100.0,95.0,99.0,4.7,49.0,29619.0,98.0
Dillard University,True,1998.0,1376.0,651.0,41.0,88.0,1539.0,45.0,6700.0,3650.0,500.0,2307.0,52.0,52.0,14.1,12.0,7566.0,61.0
East Tennessee State University,False,3330.0,2730.0,1303.0,15.0,36.0,6706.0,2640.0,5800.0,3000.0,600.0,2200.0,73.0,75.0,14.0,9.0,9825.0,42.0
Maryville College,True,1464.0,888.0,176.0,26.0,52.0,624.0,128.0,11200.0,4208.0,500.0,1642.0,80.0,90.0,11.1,43.0,8317.0,51.0
LeTourneau University,True,477.0,417.0,204.0,29.0,54.0,1532.0,77.0,8840.0,4240.0,600.0,1400.0,58.0,70.0,20.8,23.0,6863.0,56.0
Beethoven School of Arts,False,2000.0,1500.0,,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Michigan Technological University,False,2618.0,2288.0,1032.0,42.0,77.0,5524.0,414.0,8127.0,3978.0,900.0,1200.0,82.0,82.0,17.0,25.0,7473.0,65.0
Georgia State University,False,3793.0,2341.0,1238.0,9.0,24.0,7732.0,9054.0,6744.0,2655.0,720.0,3450.0,87.0,89.0,19.0,10.0,7762.0,34.0
Randolph-Macon College,True,1771.0,1325.0,306.0,21.0,46.0,1071.0,27.0,13840.0,3735.0,400.0,900.0,77.0,80.0,10.7,38.0,11080.0,74.0
Loras College,True,1641.0,1283.0,527.0,20.0,39.0,1663.0,170.0,11200.0,4000.0,500.0,1200.0,61.0,62.0,14.2,24.0,7578.0,70.0
Wheaton College IL,True,1432.0,920.0,548.0,56.0,84.0,2200.0,56.0,11480.0,4200.0,530.0,1400.0,81.0,83.0,12.7,40.0,11916.0,85.0
Elizabethtown College,True,2417.0,1843.0,426.0,36.0,70.0,1476.0,299.0,14190.0,4400.0,500.0,750.0,65.0,68.0,12.8,25.0,9815.0,81.0
University of Virginia,False,15849.0,5384.0,2678.0,74.0,95.0,11278.0,114.0,12212.0,3792.0,500.0,1000.0,90.0,92.0,9.5,22.0,13597.0,95.0
University of Utah,False,5095.0,4491.0,2400.0,27.0,53.0,13894.0,8374.0,6857.0,3975.0,858.0,3093.0,89.0,93.0,12.8,9.0,9275.0,37.0
Hollins College,True,602.0,498.0,215.0,26.0,58.0,795.0,74.0,13470.0,5515.0,500.0,850.0,78.0,91.0,11.1,48.0,13957.0,72.0
Kansas Wesleyan University,True,589.0,575.0,148.0,16.0,40.0,474.0,258.0,8400.0,3250.0,500.0,1400.0,63.0,55.0,12.4,14.0,6535.0,68.0
Drew University,True,2153.0,1580.0,321.0,56.0,84.0,1192.0,87.0,18432.0,5616.0,520.0,660.0,93.0,97.0,10.2,28.0,14907.0,83.0
Providence College,True,5139.0,3346.0,973.0,20.0,55.0,3717.0,1358.0,14400.0,6200.0,450.0,1100.0,66.0,74.0,18.4,35.0,8135.0,96.0
Sioux Falls College,True,437.0,400.0,211.0,13.0,35.0,614.0,271.0,8990.0,3064.0,500.0,1700.0,73.0,73.0,14.8,7.0,7881.0,48.0
Beethoven University,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Blaise Pascal Academy,False,2000.0,1500.0,500.0,20.0,40.0,,300.0,10000.0,,600.0,1500.0,60.0,,,20.0,8000.0,60.0
Alexander the Great Institute,True,2000.0,1500.0,0.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,0.1,100.0,8000.0,100.0
University of Notre Dame,True,7700.0,3700.0,1906.0,79.0,96.0,7671.0,30.0,16850.0,4400.0,600.0,1350.0,96.0,92.0,13.1,46.0,13936.0,97.0
Centre College,True,1013.0,888.0,288.0,55.0,82.0,943.0,7.0,11850.0,4270.0,600.0,900.0,95.0,99.0,11.4,60.0,13118.0,74.0
Che Guevara College,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Quinnipiac College,True,3712.0,2153.0,806.0,17.0,45.0,2677.0,714.0,12030.0,6140.0,1000.0,500.0,63.0,73.0,12.0,33.0,8847.0,86.0
Greensboro College,True,608.0,494.0,176.0,10.0,31.0,649.0,314.0,8330.0,3770.0,550.0,1300.0,64.0,80.0,13.0,31.0,7949.0,39.0
Dominican College of Blauvelt,True,360.0,329.0,108.0,4.0,19.0,756.0,863.0,8310.0,5500.0,600.0,1800.0,43.0,43.0,12.7,5.0,5480.0,54.0
Mary Baldwin College,True,499.0,441.0,199.0,26.0,52.0,846.0,377.0,11200.0,7400.0,600.0,1300.0,66.0,79.0,6.8,50.0,10819.0,90.0
Iona College,True,4892.0,3530.0,913.0,13.0,33.0,3906.0,1446.0,10690.0,6790.0,570.0,1150.0,66.0,83.0,16.0,14.0,8107.0,66.0
Columbia College MO,True,314.0,158.0,132.0,10.0,28.0,690.0,5346.0,8294.0,3700.0,400.0,900.0,87.0,87.0,15.3,2.0,5015.0,37.0
Mount Holyoke College,True,1800.0,1314.0,526.0,47.0,79.0,1891.0,40.0,19300.0,5700.0,750.0,750.0,79.0,91.0,9.0,51.0,18359.0,84.0
University of Hawaii at Manoa,False,3580.0,2603.0,1627.0,36.0,69.0,11028.0,2411.0,4460.0,3038.0,687.0,1281.0,85.0,87.0,11.8,6.0,12833.0,54.0
University of Pittsburgh-Main Campus,False,8586.0,6383.0,2503.0,25.0,59.0,13138.0,4289.0,10786.0,4560.0,400.0,900.0,93.0,93.0,7.8,10.0,13789.0,66.0
SUNY College at Potsdam,False,3150.0,2289.0,650.0,16.0,51.0,3598.0,234.0,6840.0,4660.0,500.0,1000.0,71.0,75.0,15.1,17.0,6436.0,59.0
University of Wisconsin-Whitewater,False,4400.0,3719.0,1472.0,12.0,38.0,7804.0,1552.0,6950.0,2500.0,300.0,1200.0,90.0,95.0,23.1,16.0,5559.0,67.0
Cleopatra Center for Studies,True,2000.0,1500.0,10000.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,,1500.0,60.0,0.0,15.0,,8000.0,60.0
Galileo Center for Studies,True,2000.0,1500.0,500.0,20.0,100.0,2000.0,,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,,60.0
Rivier College,True,484.0,386.0,141.0,6.0,28.0,590.0,1196.0,9870.0,4860.0,600.0,1100.0,59.0,59.0,12.2,19.0,6744.0,81.0
Nikola Tesla College,,2000.0,1500.0,,20.0,40.0,,300.0,1.0,5000.0,10000.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Bloomsburg Univ. of Pennsylvania,False,6773.0,3028.0,1025.0,15.0,55.0,5847.0,946.0,7844.0,2948.0,500.0,1680.0,66.0,68.0,18.0,19.0,7041.0,75.0
Salem College,True,335.0,284.0,132.0,28.0,69.0,534.0,216.0,10475.0,6300.0,500.0,2000.0,68.0,68.0,11.2,46.0,9599.0,60.0
Saint Xavier University,True,785.0,647.0,295.0,15.0,65.0,1670.0,726.0,10860.0,4624.0,600.0,794.0,87.0,100.0,13.7,15.0,8953.0,55.0
Drury College,True,700.0,650.0,314.0,33.0,66.0,1065.0,48.0,8730.0,3523.0,500.0,750.0,82.0,92.0,13.2,35.0,9303.0,67.0
Tri-State University,True,1262.0,1102.0,276.0,14.0,40.0,978.0,98.0,9456.0,4350.0,468.0,1323.0,53.0,53.0,12.8,24.0,7603.0,65.0
Stonehill College,True,3646.0,2300.0,585.0,25.0,69.0,2022.0,926.0,12170.0,6172.0,480.0,800.0,79.0,79.0,13.0,30.0,7495.0,97.0
Emily Dickinson Academy,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,,30000.0,60.0,60.0,15.0,20.0,8000.0,60.0
Creighton University,True,2967.0,2836.0,876.0,30.0,60.0,3450.0,644.0,10628.0,4372.0,650.0,2055.0,85.0,90.0,6.5,32.0,22906.0,85.0
Earlham College,True,1358.0,1006.0,274.0,35.0,63.0,1028.0,13.0,15036.0,4056.0,600.0,600.0,90.0,94.0,10.6,46.0,14634.0,78.0
Columbia College,True,737.0,614.0,242.0,21.0,67.0,968.0,237.0,10425.0,3975.0,500.0,1500.0,61.0,77.0,14.7,34.0,8693.0,76.0
Hypatia Institute,False,2000.0,1500.0,500.0,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Syracuse University,True,10477.0,7260.0,2442.0,28.0,67.0,10142.0,117.0,15150.0,6870.0,635.0,960.0,73.0,84.0,11.3,13.0,14231.0,67.0
Goldey Beacom College,True,633.0,468.0,284.0,10.0,27.0,823.0,963.0,6120.0,2985.0,531.0,1830.0,25.0,25.0,27.6,4.0,6081.0,36.0
Grove City College,True,2491.0,1110.0,573.0,57.0,88.0,2213.0,35.0,5224.0,3048.0,525.0,350.0,65.0,65.0,18.4,18.0,4957.0,100.0
Rutgers State University at Camden,False,3366.0,1752.0,232.0,27.0,79.0,2585.0,1300.0,7411.0,4748.0,690.0,2009.0,90.0,95.0,18.6,12.0,10134.0,57.0
Brenau University,True,367.0,274.0,158.0,12.0,41.0,917.0,479.0,9592.0,5879.0,500.0,700.0,71.0,80.0,13.7,12.0,5935.0,49.0
Angelo State University,False,3540.0,2001.0,1016.0,24.0,54.0,4190.0,1512.0,5130.0,3592.0,500.0,2000.0,60.0,62.0,23.1,5.0,4010.0,34.0
Wilkes University,True,1631.0,1431.0,434.0,15.0,36.0,1803.0,603.0,11150.0,5130.0,550.0,1260.0,78.0,92.0,13.3,24.0,8543.0,67.0
Alexander the Great Institute,True,2000.0,,,20.0,40.0,2000.0,300.0,10000.0,5000.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Nelson Mandela Institute,False,2000.0,1500.0,,,40.0,2000.0,300.0,10000.0,0.0,600.0,1500.0,60.0,60.0,15.0,20.0,8000.0,60.0
Washington and Jefferson College,True,1305.0,1100.0,334.0,42.0,64.0,1098.0,151.0,16260.0,4005.0,300.0,500.0,91.0,91.0,12.1,40.0,10162.0,86.0
Dana College,True,504.0,482.0,185.0,10.0,36.0,550.0,84.0,9130.0,3322.0,450.0,1450.0,46.0,51.0,12.6,25.0,8686.0,54.0
Virginia Union University,True,1847.0,1610.0,453.0,19.0,59.0,1298.0,67.0,7384.0,3494.0,500.0,1763.0,51.0,67.0,13.7,8.0,6757.0,30.0
University of Oregon,False,8631.0,6732.0,2546.0,25.0,61.0,11669.0,1605.0,10602.0,3660.0,570.0,1530.0,79.0,87.0,19.7,13.0,8020.0,54.0
